brand,name,price,review,message,category,channel,size
N/A,DODODOLA Stuffed Dog Toys Durable Plush Dog Toy with Crinkle Paper Cute Dinosaur Squeaky Dog Toys Dog Chew Toys for Medium Large Breed,$14.99 ,N/A,no discount,toys,amazon,"['M', 'L']"
N/A,Jack&Pup Bully Sticks for Small Dogs - 6 Inch Junior Bully Stick Dog Chew 6” Long Premium Grade All Natural Gourmet Puppy Treat Chews - Great for Teething Puppies,$22.05 ,N/A,Limited time deal,toys,amazon,['S']
N/A,Nature Gnaws Pig Ears for Dogs - Premium Natural Whole Pork Chews - Simple Long Lasting Dog Treats for Large Dogs and Aggressive Chewers - Rawhide Free,$18.35 ,N/A,no discount,toys,amazon,['L']
N/A,"Best Bully Sticks All-Natural USA Baked & Packed Bully Sticks - 100% Grass-Fed, Free-Range Beef - Single-Ingredient Dog Chews",$54.99 ,N/A,no discount,toys,amazon,[]
N/A,"KONG Stuff'N All-Natural Peanut Butter Dog Toys, 6.3 OZ, Multi-Color",$10.99 ,N/A,no discount,toys,amazon,[]
N/A,"Pupford Thick Bully Sticks for Aggressive Chewers | Durable, Tough, Soft, Long-Lasting Chews for Dogs of All Ages & Sizes | Single Ingredient, Cleans Teeth, Teaches Proper Chewing Behavior",$14.99 ,N/A,no discount,toys,amazon,[]
N/A,Nylabone Puppy Power Chew Toys | Long Lasting Puppy Chew Toys for Powerful Chewers | Interactive Treat Toys for Puppy,$12.22 ,N/A,no discount,toys,amazon,[]
N/A,"Bully Stick Holder - Small Size - Interactive Dog Toy, Dog Treat Holder, Slow Feeder, Treat Dispenser, Chew Toy and Dog Safety Device",$15.95 ,N/A,no discount,toys,amazon,['S']
N/A,"Hero Bonetics Stick, Wood Scent Chewable Dog Toy, Gentle on Teeth & Tummy",$7.73 ,N/A,no discount,toys,amazon,[]
N/A,"Bully Stick Holder - Size Small Interactive Dog Toy, Dog Treat Holder, Slow Feeder, Treat Dispenser, Chew Toy and Dog Safety Device",$15.95 ,N/A,no discount,toys,amazon,['S']
N/A,Elk Antler Bone for Dogs - Natural Four Brothers Elk Antlers - Odor and Dirt Free Antler Bone for Your Pets - Excellent for All Breeds of Dogs,$16.99 ,N/A,no discount,toys,amazon,[]
N/A,Devil Dog Pet Co Yak Cheese Himalayan Dog Chew - Premium Yak Chew - Heavy Duty All Natural Dog Treat for Teething Puppy and Semi Aggressive Chewers - USA Veteran Owned Business,$11.97 ,N/A,no discount,toys,amazon,[]
N/A,"DOOG Stick Family Fetch Toys Safer Than Real Sticks, Splinter Free, Glow-In-The-Dark Eyes, Floats, Easy to Clean",$9.99 ,N/A,Save 15%,toys,amazon,[]
N/A,Himalayan​ Pet Supply​ Bonehead Small,$7.48 ,N/A,no discount,toys,amazon,['S']
N/A,Elk Antler Dog Chew - Irresistible for Larger Dogs and Aggressive chewers - Split Revealing The Tasty Marrow Inside - Fantastic Treat - Naturally Supporting Clean Teeth (Large),$29.99 ,N/A,no discount,toys,amazon,['L']
N/A,"JW Pet Company 43505 Treat Tower Toys for Pets, Small, White/Rings of Blue, Orange, Green",$10.08 ,N/A,no discount,toys,amazon,['S']
N/A,"Pawstruck Dog Jerky Treats - Joint Health Beef Chews - Bulk, Gourmet, Fresh & Savory Gullet Straps - Naturally Rich in Glucosamine & Chondroitin - Promotes Healthy Joints by USA Company",$19.99 ,N/A,no discount,toys,amazon,[]
N/A,Full Moon All Natural Human Grade Chicken Nugget Dog Treats,$13.99 ,N/A,no discount,toys,amazon,[]
N/A,Golden Chews Natural Rawhide Chips – Premium Long-Lasting Dog Treats,$28.99 ,N/A,no discount,toys,amazon,[]
N/A,Starmark RubberTuff Treat Ball,$14.66 ,N/A,no discount,toys,amazon,[]
N/A,Nylabone Power Chew Knuckle Bone & Pop-in Treats,$11.89 ,N/A,no discount,toys,amazon,[]
N/A,WhiteTail Naturals - Lamb Horns for Dogs (2 Pack) Long Lasting Dog Chews - Grain Free Chew Bone - Natural Sheep Horn Treat - Tough Chew Toy for Medium Breeds and Teething Puppies.,$21.99 ,N/A,no discount,toys,amazon,['M']
N/A,Doggijuana | Refillable Catnip Dog Toys | Promotes Play and Helps Your Dog Chill | Includes Organic Catnip,$16.99 ,N/A,no discount,toys,amazon,[]
N/A,"Get Well Soon Dog Gifts, Small Dog Care Package, Dog Gift Basket with 2 Healthiest Treats and 2 Toys, Adorable Puppy Gift Basket, Doggie Gifts for All Dog Sizes - Fun Packaging",$35.99 ,N/A,no discount,toys,amazon,['S']
N/A,"Deer Valley Chews Premium Deer Antler for Puppies (Tiny 4-6 Inches, 6 Pack) Dog Bones for Small Mouths - Dog Treat for Teething and Chewing - Premium Grade, Naturally Shed",$22.99 ,N/A,no discount,toys,amazon,['S']
N/A,Nylabone Puppy Antler Dog Chew,$14.86 ,N/A,no discount,toys,amazon,[]
N/A,Ruff & Whiskerz Natural Stick Tugz Dog Toy,$16.47 ,N/A,no discount,toys,amazon,[]
N/A,"All for Paws Interactive Dog Chew Toys,Dog Treat Hider Toys,Plush Dog Toy,Rubber Dog Toy,Dog Toys for Aggressive Chewers",$5.99 ,N/A,no discount,toys,amazon,[]
N/A,"iFetch Too Tennis Balls Dog Toys, Medium, Blue",$12.50 ,N/A,no discount,toys,amazon,['M']
N/A,Starmark Treat Dispensing Tetraflex Dog Toy,$9.99 ,N/A,no discount,toys,amazon,[]
N/A,Red Dingo Wendy The Wombat Durables,$19.99 ,N/A,no discount,toys,amazon,[]
N/A,"Jungle Calling Dog Treats, Chicken Wrapped Rawhide Sticks for Dogs, Long Lasting Dog Chews Snacks Training Treats",$15.49 ,N/A,no discount,toys,amazon,[]
