,name,price,review,message,discount_info
37,Multipet® Halloween Lamb Chop with Candy Corn Hat Dog Toy - Squeaker,5.99,7,"Buy 2, Get the 3rd 50% Off Mix n' Match Dog & Cat Toys",Old Price
38,KONG® Halloween Wubba Bat Dog Toy,11.99,7,"Buy 2, Get the 3rd 50% Off Mix n' Match Dog & Cat Toys",Old Price
39,Top Paw® TUFF with Bite Shield™ Protection Elephant Dog Toy - Tough Plush,6.57,91,"Buy 2, Get the 3rd 50% Off Mix n' Match Dog & Cat Toys",Discounted Price
40,"Top Paw® ""I Love PetSmart"" Flyer Dog Toy",1.99,51,"Buy 2, Get the 3rd 50% Off Mix n' Match Dog & Cat Toys",Old Price
41,KONG® Halloween Wubba Frankenstein Dog Toy,11.99,0,"Buy 2, Get the 3rd 50% Off Mix n' Match Dog & Cat Toys",Old Price
42,KONG® Ziggies™Dog Treat,10.99-13.99,30,"Buy 2, Get the 3rd 50% Off Mix n' Match Dog & Cat Toys",Discounted Price
43,Thrills & Chills™ Halloween Vinyl Gravestone R.I.P. Dog Toy - Squeaker,2.97,4,"Buy 2, Get the 3rd 50% Off Mix n' Match Dog & Cat Toys",Discounted Price
44,KONG® Easy Treat™ Dog Treat - Puppy Recipe,9.99-15.99,50,"Buy 2, Get the 3rd 50% Off Mix n' Match Dog & Cat Toys",Discounted Price
45,"Thrills & Chills™ Halloween Candy Corn Stack Flattie Dog Toy - Crinkle, Squeaker",6.99,1,"Buy 2, Get the 3rd 50% Off Mix n' Match Dog & Cat Toys",Old Price
46,Top Paw® Squeaker Puppy Dog Toy (CHARACTER VARIES),1.00,25,"Buy 2, Get the 3rd 50% Off Mix n' Match Dog & Cat Toys",Discounted Price
47,"Thrills & Chills™ Halloween Joker Flattie Dog Toy - Crinkle, Squeaker",3.99,0,"Buy 2, Get the 3rd 50% Off Mix n' Match Dog & Cat Toys",Old Price
48,Thrills & Chills™ Halloween Plush Pumpkin Rope Dog Toy - Squeaker,6.99,1,"Buy 2, Get the 3rd 50% Off Mix n' Match Dog & Cat Toys",Old Price
49,Thrills & Chills™ Halloween Vinyl Caldron Dog Toy - Squeaker,2.97,0,"Buy 2, Get the 3rd 50% Off Mix n' Match Dog & Cat Toys",Discounted Price
